"ts;""comp_amt"";""comp_rgainfinal"";""comp_round"";""num"";""id"";""gr"";""lang"""
"2024-10-17 18:56:24;50000;763850;9;263;""JZ"";""2"";1"
"2024-10-18 01:17:19;200000;5000001;14;264;""Ay"";""2"";1"
"2024-10-18 01:50:29;50000;656414;3;265;""Yd"";""2"";1"
"2024-10-18 04:51:43;50000;-362081;11;266;""an"";""2"";1"
"2024-10-18 15:12:55;50000;0;3;267;""fh"";""1"";1"
"2024-10-18 15:17:12;100000;3122133;13;268;""Cm"";""1"";1"
"2024-10-18 15:17:27;50000;0;6;269;""fh"";""1"";1"
"2024-10-18 15:39:44;200000;6971001;14;270;""fh"";""1"";1"
"2024-10-18 15:43:11;50000;0;5;271;""fh"";""1"";1"
"2024-10-18 15:44:46;200000;5021320;15;272;""fh"";""1"";1"
"2024-10-18 15:57:19;200000;5699321;14;273;""rg"";""1"";1"
"2024-10-18 16:00:15;50000;0;11;274;""30"";""2"";1"
"2024-10-18 16:07:05;100000;4516242;13;275;""UO"";""2"";1"
"2024-10-18 16:13:27;200000;5159369;14;276;""5E"";""1"";1"
"2024-10-18 16:14:56;200000;5525870;15;277;""xC"";""1"";1"
"2024-10-18 16:23:37;200000;5517280;14;278;""nu"";""2"";1"
"2024-10-18 16:36:01;200000;6213790;15;279;""WG"";""2"";1"
"2024-10-19 02:18:10;100000;4561657;14;280;""sW"";""1"";1"
"2024-10-19 06:41:51;50000;-412915;1;281;""RP"";""2"";1"
"2024-10-19 09:14:58;200000;5481316;15;282;""Ty"";""1"";1"
"2024-10-19 09:37:54;200000;5790217;15;283;""Cn"";""2"";1"
"2024-10-19 11:32:07;50000;292904;1;284;""v9"";""2"";1"
"2024-10-19 16:42:49;50000;-812897;5;285;""ak"";""1"";1"
"2024-10-19 23:25:46;100000;4096536;14;286;""0u"";""2"";1"
"2024-10-20 01:20:20;50000;-810419;13;287;""de"";""1"";1"
"2024-10-20 07:35:16;50000;0;4;288;""iU"";""2"";1"
"2024-10-20 10:46:35;50000;585760;6;289;""Vj"";""2"";1"
"2024-10-20 10:54:47;50000;278895;1;290;""do"";""1"";1"
"2024-10-20 11:15:31;50000;-812897;15;291;""54"";""1"";1"
"2024-10-20 12:28:56;50000;-195008;14;292;""Xl"";""1"";1"
"2024-10-20 13:02:47;50000;0;8;293;""i5"";""2"";1"
"2024-10-20 15:34:30;50000;0;9;294;""uP"";""2"";1"
"2024-10-20 15:37:41;50000;859998;9;295;""eg"";""1"";1"
"2024-10-20 16:00:45;50000;772862;6;296;""wS"";""2"";1"
"2024-10-21 12:51:34;50000;621538;7;297;""pZ"";""2"";1"
"2024-10-23 04:29:32;200000;5010578;15;298;""SK"";""2"";1"
"2024-10-23 05:01:25;100000;4679872;13;299;""FR"";""1"";1"
"2024-10-23 06:51:58;200000;5513860;14;300;""MT"";""1"";1"
"2024-10-23 07:05:09;200000;5460965;15;301;""sq"";""2"";1"
"2024-10-23 11:49:41;50000;323899;2;302;""lX"";""1"";1"
"2024-10-23 11:57:39;200000;5788733;14;303;""C2"";""2"";1"
"2024-10-23 12:14:23;200000;5468145;15;304;""il"";""1"";1"
"2024-10-23 13:03:42;100000;4463676;13;305;""oL"";""2"";1"
"2024-10-23 13:25:51;100000;4743304;13;306;""CA"";""1"";1"
"2024-10-23 13:42:02;200000;5232431;14;307;""3w"";""2"";1"
"2024-10-23 15:39:44;200000;5875718;15;308;""IO"";""2"";1"
"2024-10-23 15:50:25;200000;6069756;15;309;""mT"";""1"";1"
"2024-10-23 15:55:48;200000;6903391;15;310;""QY"";""2"";1"
"2024-10-23 16:16:11;100000;1454199;12;311;""xQ"";""1"";1"
"2024-10-23 16:19:24;100000;4043060;15;312;""xQ"";""1"";1"
"2024-10-23 16:25:27;200000;6067735;15;313;""l2"";""1"";1"
"2024-10-23 16:26:01;200000;5691283;15;314;""1e"";""2"";1"
"2024-10-23 16:26:30;200000;5691283;15;315;""1e"";""2"";1"
"2024-10-23 17:09:58;100000;4472576;15;316;""fv"";""2"";1"
"2024-10-23 18:10:58;50000;0;9;317;""WR"";""1"";1"
"2024-10-24 02:29:03;50000;-362081;7;318;""iU"";""1"";1"
"2024-10-24 10:33:40;100000;3799130;13;319;""NF"";""1"";1"
"2024-10-24 11:52:30;50000;914260;10;320;""yN"";""2"";1"
"2024-10-24 12:02:09;100000;1033291;5;321;""MY"";""1"";1"
"2024-10-24 14:13:18;200000;5851883;15;322;""JZ"";""2"";1"
"2024-10-24 14:21:19;200000;5754955;14;323;""5Q"";""1"";1"
"2024-10-24 14:38:14;200000;6068265;14;324;""1C"";""1"";1"
"2024-10-24 14:55:58;200000;5761142;14;325;""WJ"";""1"";1"
"2024-10-24 15:03:58;50000;705744;3;326;""0i"";""2"";1"
"2024-10-24 15:21:58;200000;5961566;14;327;""pz"";""2"";1"
"2024-10-24 15:32:22;50000;0;8;328;""sB"";""2"";1"
"2024-10-24 15:53:22;100000;4637773;15;329;""Tc"";""1"";1"
"2024-10-25 08:15:41;200000;5745105;15;330;""kL"";""2"";1"
"2024-10-25 11:00:41;50000;621538;7;331;""Us"";""1"";1"
"2024-10-25 17:55:58;50000;643004;7;332;""aY"";""1"";1"
"2024-10-25 18:29:35;50000;816369;7;333;""N0"";""1"";1"
