"ts;""counter"";""num"";""id"";""gr"";""lang"";""au"""
"2024-10-18 14:44:58;1;1349;""Cm"";""1"";1;1"
"2024-10-18 14:44:59;1;1350;""30"";""2"";1;1"
"2024-10-18 15:44:28;1;1351;""rg"";""1"";1;0"
"2024-10-18 15:47:48;1;1352;""UO"";""2"";1;0"
"2024-10-18 15:49:14;1;1353;""xC"";""1"";1;1"
"2024-10-18 15:49:23;1;1354;""nu"";""2"";1;1"
"2024-10-18 16:00:00;1;1355;""5E"";""1"";1;0"
"2024-10-18 16:25:23;1;1356;""WG"";""2"";1;0"
"2024-10-18 16:36:35;1;1357;""o6"";""1"";1;1"
"2024-10-18 22:47:53;1;1358;""qL"";""2"";1;1"
"2024-10-19 01:37:39;1;1359;""sW"";""1"";1;0"
"2024-10-19 05:42:26;1;1360;""RP"";""2"";1;0"
"2024-10-19 09:03:31;1;1361;""Ty"";""1"";1;1"
"2024-10-19 09:25:21;1;1362;""Cn"";""2"";1;1"
"2024-10-19 11:04:13;1;1363;""7h"";""1"";1;0"
"2024-10-19 11:04:20;1;1364;""v9"";""2"";1;0"
"2024-10-19 15:44:01;1;1365;""ak"";""1"";1;1"
"2024-10-19 16:46:37;1;1366;""i5"";""2"";1;1"
"2024-10-19 22:47:28;1;1367;""Nz"";""1"";1;0"
"2024-10-19 22:48:25;1;1368;""0u"";""2"";1;0"
"2024-10-19 23:34:29;1;1369;""de"";""1"";1;1"
"2024-10-19 23:57:18;1;1370;""jE"";""2"";1;1"
"2024-10-20 04:44:51;1;1371;""Dx"";""1"";1;0"
"2024-10-20 06:13:01;1;1372;""iU"";""2"";1;0"
"2024-10-20 10:02:15;1;1373;""54"";""1"";1;1"
"2024-10-20 10:02:17;1;1374;""Vj"";""2"";1;1"
"2024-10-20 10:07:01;1;1375;""do"";""1"";1;0"
"2024-10-20 10:24:22;1;1376;""ot"";""2"";1;0"
"2024-10-20 11:25:44;1;1377;""Xl"";""1"";1;1"
"2024-10-20 12:18:08;1;1378;""Cu"";""1"";0;0"
"2024-10-20 14:57:29;1;1379;""uP"";""2"";1;1"
"2024-10-20 15:11:05;1;1380;""eg"";""1"";1;1"
