"gr;""id"";""lang"";""ts"";""round"";""trx"";""sec"";""pos"";""activity"";""price"";""crypto"";""fiat"";""crypto_prev"";""fiat_prev"";""sell"";""buy"";""buy_prev"";""t_gain"";""t_tax"";""t_gain_net"";""r_gain"";""r_gain_prev"";""r_tax"";""r_tax_prev"";""r_gain_net"";""tax_disclos"";""tax_discre"";""audit"";""penalty"";""r_gain_final"";""num"""
"2;""Dg"";1;""2024-10-08 04:13:17"";11;1;37;""b"";""selling"";1051181;0.0;1051181;1.0;0;1051181;0;0;1051181;210236;840945;1051181;0;210236;0;840945;210236;0;0;0;840945;55"
"2;""oI"";1;""2024-10-08 01:52:45"";7;2;25;""s"";""buying"";874589;1.01;0;0.0;882776;0;874589;874589;0;0;0;882776;882776;176555;176555;706221;0;176555;0;0;882776;56"
"2;""oI"";1;""2024-10-08 01:48:18"";2;4;17;""s"";""buying"";492280;0.85;0;0.0;419976;0;492280;492280;0;0;0;419833;419833;83966;83966;335867;0;83966;0;0;419833;57"
"2;""Dg"";1;""2024-10-08 04:14:56"";12;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58"
"2;""oI"";1;""2024-10-08 01:52:52"";7;3;18;""b"";""selling"";935859;0.0;945218;1.01;0;935859;874589;874589;61270;12254;49016;944046;882776;188809;176555;755237;0;188809;0;0;944046;59"
"2;""oI"";1;""2024-10-08 01:48:33"";2;5;2;""b"";""selling"";530381;0.0;450824;0.85;0;530381;492280;492280;38101;7620;30481;457934;419833;91586;83966;366348;91586;0;0;0;366348;60"
"2;""Dg"";1;""2024-10-08 04:15:01"";12;1;36;""b"";""selling"";1557985;0.0;1557985;1.0;0;1557985;0;0;1557985;311597;1246388;1557985;0;311597;0;1246388;311597;0;0;0;1246388;61"
"2;""oI"";1;""2024-10-08 01:52:54"";7;4;16;""s"";""buying"";950899;0.99;0;0.0;945218;0;950899;950899;0;0;0;944046;944046;188809;188809;755237;0;188809;0;0;944046;62"
"1;""DT"";1;""2024-10-08 01:48:41"";5;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63"
"2;""Dg"";1;""2024-10-08 04:16:13"";13;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64"
"1;""DT"";1;""2024-10-08 01:52:55"";9;3;21;""b"";""selling"";879037;0.0;1002102;1.14;0;879037;875643;875643;3394;678;2716;998546;995152;199709;199030;798837;0;199709;0;0;998546;65"
"2;""oI"";1;""2024-10-08 01:48:51"";3;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66"
"2;""Dg"";1;""2024-10-08 04:16:18"";13;1;37;""b"";""selling"";3278202;0.0;3278202;1.0;0;3278202;0;0;3278202;655640;2622562;3278202;0;655640;0;2622562;0;655640;0;0;3278202;67"
"1;""DT"";1;""2024-10-08 01:52:56"";9;4;19;""s"";""buying"";883505;1.13;0;0.0;1002102;0;883505;883505;0;0;0;998546;998546;199709;199709;798837;0;199709;0;0;998546;68"
"2;""oI"";1;""2024-10-08 01:48:56"";3;1;36;""b"";""selling"";820517;0.0;820517;1.0;0;820517;0;0;820517;164103;656414;820517;0;164103;0;656414;0;164103;0;0;820517;69"
"2;""Dg"";1;""2024-10-08 04:16:40"";13;2;16;""s"";""buying"";3228938;1.02;0;0.0;3278202;0;3228938;3228938;0;0;0;3278202;3278202;655640;655640;2622562;0;655640;0;0;3278202;70"
"1;""DT"";1;""2024-10-08 01:52:59"";9;5;17;""b"";""selling"";952575;0.0;1076410;1.13;0;952575;883505;883505;69070;13814;55256;1067616;998546;213523;199709;854093;213524;-1;1;0;854093;71"
"2;""oI"";1;""2024-10-08 01:48:58"";3;2;34;""s"";""buying"";734390;1.12;0;0.0;820517;0;734390;734390;0;0;0;820517;820517;164103;164103;656414;0;164103;0;0;820517;72"
"2;""oI"";1;""2024-10-08 01:53:00"";7;5;10;""b"";""selling"";961342;0.0;951729;0.99;0;961342;950899;950899;10443;2088;8355;954489;944046;190897;188809;763592;190897;0;0;0;763592;73"
"2;""oI"";1;""2024-10-08 01:49:08"";3;3;25;""b"";""selling"";867322;0.0;971401;1.12;0;867322;734390;734390;132932;26586;106346;953449;820517;190689;164103;762760;0;190689;0;0;953449;74"
"2;""Dg"";1;""2024-10-08 04:16:46"";13;3;11;""b"";""selling"";3346610;0.0;3413542;1.02;0;3346610;3228938;3228938;117672;23534;94138;3395874;3278202;679174;655640;2716700;679174;0;1;0;2716700;75"
"2;""oI"";1;""2024-10-08 01:49:10"";3;4;23;""s"";""buying"";871996;1.11;0;0.0;971401;0;871996;871996;0;0;0;953449;953449;190689;190689;762760;0;190689;0;0;953449;76"
"2;""Dg"";1;""2024-10-08 04:17:39"";14;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77"
"2;""oI"";1;""2024-10-08 01:49:17"";3;5;15;""b"";""selling"";770777;0.0;855562;1.11;0;770777;871996;871996;-101219;0;-101219;852230;953449;170446;190689;681784;170446;0;0;0;681784;78"
"2;""Dg"";1;""2024-10-08 04:17:48"";14;1;33;""b"";""selling"";5224652;0.0;5224652;1.0;0;5224652;0;0;5224652;1044930;4179722;5224652;0;1044930;0;4179722;1044930;0;0;0;4179722;79"
"2;""Dg"";1;""2024-10-08 04:19:00"";15;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80"
"1;""DT"";1;""2024-10-08 01:49:21"";5;1;1;""b"";""selling"";810391;0.0;810391;1.0;0;810391;0;0;810391;162078;648313;810391;0;162078;0;648313;162079;-1;0;0;648312;81"
"2;""Dg"";1;""2024-10-08 04:19:13"";15;1;28;""b"";""selling"";6124309;0.0;6124309;1.0;0;6124309;0;0;6124309;1224861;4899448;6124309;0;1224861;0;4899448;0;1224861;0;0;6124309;82"
"1;""DT"";1;""2024-10-08 01:49:40"";6;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83"
"2;""Dg"";1;""2024-10-08 04:19:16"";15;2;25;""s"";""buying"";5680490;1.08;0;0.0;6124309;0;5680490;5680490;0;0;0;6124309;6124309;1224861;1224861;4899448;0;1224861;0;0;6124309;84"
"2;""oI"";1;""2024-10-08 01:49:44"";4;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85"
"1;""sD"";1;""2024-10-08 02:18:06"";3;4;35;""s"";""buying"";820517;0.97;0;0.0;799442;0;820517;820517;0;0;0;799442;799442;159888;159888;639554;0;159888;0;0;799442;86"
"2;""Dg"";1;""2024-10-08 04:19:48"";15;3;4;""b"";""selling"";5819236;0.0;6284775;1.08;0;5819236;5680490;5680490;138746;27749;110997;6263055;6124309;1252611;1224861;5010444;1252611;0;0;0;5010444;87"
"2;""oI"";1;""2024-10-08 01:49:50"";4;1;35;""b"";""selling"";1089509;0.0;1089509;1.0;0;1089509;0;0;1089509;217901;871608;1089509;0;217901;0;871608;0;217901;0;0;1089509;88"
